S.No,States/UTs,Sunny/Clear - Total Accidents - Number,Sunny/Clear - Persons Killed - Number,Sunny/Clear - Persons Injured - Total Injured,Rainy - Total Accidents,Rainy - Persons Killed,Rainy - Persons Injured - Total Injured,Foggy & Misty - Total Accidents,Foggy & Misty - Persons Killed,Foggy & Misty - Persons Injured - Total Injured,Hail/Sleet - Total Accidents,Hail/Sleet - Persons Killed,Hail/Sleet - Persons Injured - Total Injured
30,Andaman and Nicobar Island,231,17,232,23,2,28,0,0,0,0,0,0
1,Andhra Pradesh,19793,5880,18461,852,282,1017,1305,506,1261,55,28,45
2,Arunachal Pradesh,80,49,91,71,47,89,40,26,49,0,0,0
3,Assam,3891,1456,3477,1555,525,1804,1018,315,805,34,9,49
4,Bihar,5532,3966,3736,1980,1276,1333,2088,1487,1610,0,0,0
31,Chandigarh,314,97,300,0,0,0,2,1,0,0,0,0
5,Chhattisgarh,8132,2615,7341,1610,487,1385,579,224,575,0,0,0
32,D & N Haveli,39,25,41,12,9,3,26,20,16,0,0,0
33,Daman & Diu,63,30,84,8,3,5,5,2,5,0,0,0
34,Delhi,3203,871,2954,792,169,855,943,252,895,0,0,0
6,Goa,3482,239,1449,227,23,100,0,0,0,0,0,0
7,Gujarat,16941,7188,15715,1218,534,1143,610,274,609,0,0,0
8,Haryana,5489,2242,4811,1484,680,1343,1960,906,1735,301,138,378
9,Himachal Pradesh,2716,1006,4697,168,95,428,212,100,387,4,1,12
10,Jammu & Kashmir,3876,616,4814,148,21,205,30,4,61,4,0,5
11,Jharkhand,2430,1629,1981,837,514,586,511,331,358,273,197,213
12,Karnataka,36518,9815,45173,3765,880,4736,1414,290,1648,10,5,5
13,Kerala,35096,3663,39637,4203,497,4794,882,143,1027,0,0,0
35,Lakshadweep,1,1,1,0,0,0,0,0,0,0,0,0
14,Madhya Pradesh,36312,7482,38478,4596,976,5105,2336,522,2669,237,59,399
15,Maharashtra,31243,11707,27281,3545,1249,3095,756,254,830,173,51,159
16,Manipur,334,90,570,102,13,185,80,9,144,10,0,29
17,Meghalaya,115,61,50,13,8,5,8,4,3,7,2,5
18,Mizoram,38,32,53,5,4,12,5,4,4,0,0,0
19,Nagaland,245,26,203,82,3,68,97,3,52,0,0,0
20,Orissa,5840,2714,5973,1974,925,2122,1050,517,1120,277,104,302
36,Puducherry,909,142,992,259,29,293,0,0,0,0,0,0
21,Punjab,3614,2642,1940,543,364,397,1177,912,512,169,139,88
22,Rajasthan,19487,9138,19489,225,96,234,229,145,188,18,9,20
23,Sikkim,89,46,171,40,25,103,31,8,61,20,6,35
24,Tamil Nadu,54391,10264,62761,6388,1205,7956,2812,485,3041,329,262,779
25,Telangana,22127,6571,23527,103,32,86,0,0,0,0,0,0
26,Tripura,442,163,639,70,28,56,37,21,44,3,1,2
28,Uttar Pradesh,17111,8970,11647,6357,3280,4705,6933,3624,4785,2172,1102,1545
27,Uttarakhand,840,702,982,210,121,161,80,52,57,0,0,0
29,West Bengal,7173,2728,6843,546,188,573,770,400,714,18,10,10
